DATE,Retail Sales
1/1/1992,3023
2/1/1992,3014
3/1/1992,3452
4/1/1992,3535
5/1/1992,3577
6/1/1992,3722
7/1/1992,3737
8/1/1992,3627
9/1/1992,3546
10/1/1992,3791
11/1/1992,3452
12/1/1992,3447
1/1/1993,3146
2/1/1993,3174
3/1/1993,3617
4/1/1993,3801
5/1/1993,3795
6/1/1993,3955
7/1/1993,4055
8/1/1993,4063
9/1/1993,3896
10/1/1993,3933
11/1/1993,3776
12/1/1993,3599
1/1/1994,3470
2/1/1994,3524
3/1/1994,4194
4/1/1994,4162
5/1/1994,4138
6/1/1994,4334
7/1/1994,4262
8/1/1994,4564
9/1/1994,4164
10/1/1994,4265
11/1/1994,4168
12/1/1994,3995
1/1/1995,3755
2/1/1995,3634
3/1/1995,4333
4/1/1995,4231
5/1/1995,4511
6/1/1995,4626
7/1/1995,4424
8/1/1995,4863
9/1/1995,4357
10/1/1995,4563
11/1/1995,4506
12/1/1995,4100
1/1/1996,4085
2/1/1996,4183
3/1/1996,4480
4/1/1996,4692
5/1/1996,4881
6/1/1996,4723
7/1/1996,4965
8/1/1996,4971
9/1/1996,4497
10/1/1996,5073
11/1/1996,4596
12/1/1996,4418
1/1/1997,4390
2/1/1997,4216
3/1/1997,4787
4/1/1997,4997
5/1/1997,5034
6/1/1997,5042
7/1/1997,5307
8/1/1997,5209
9/1/1997,5009
10/1/1997,5230
11/1/1997,4746
12/1/1997,4577
1/1/1998,4478
2/1/1998,4354
3/1/1998,5028
4/1/1998,5094
5/1/1998,5141
6/1/1998,5280
7/1/1998,5364
8/1/1998,5225
9/1/1998,5075
10/1/1998,5316
11/1/1998,4769
12/1/1998,4875
1/1/1999,4488
2/1/1999,4527
3/1/1999,5240
4/1/1999,5341
5/1/1999,5248
6/1/1999,5542
7/1/1999,5522
8/1/1999,5510
9/1/1999,5438
10/1/1999,5397
11/1/1999,5287
12/1/1999,5109
1/1/2000,4691
2/1/2000,4877
3/1/2000,5611
4/1/2000,5152
5/1/2000,5601
6/1/2000,5706
7/1/2000,5345
8/1/2000,5828
9/1/2000,5457
10/1/2000,5290
11/1/2000,5037
12/1/2000,4844
1/1/2001,4510
2/1/2001,4448
3/1/2001,5187
4/1/2001,5104
5/1/2001,5485
6/1/2001,5447
7/1/2001,5388
8/1/2001,5720
9/1/2001,4910
10/1/2001,5312
11/1/2001,4940
12/1/2001,4641
1/1/2002,4766
2/1/2002,4618
3/1/2002,5115
4/1/2002,5372
5/1/2002,5532
6/1/2002,5423
7/1/2002,5670
8/1/2002,5766
9/1/2002,5119
10/1/2002,5506
11/1/2002,4958
12/1/2002,4777
1/1/2003,4770
2/1/2003,4653
3/1/2003,5270
4/1/2003,5428
5/1/2003,5556
6/1/2003,5544
7/1/2003,5836
8/1/2003,5666
9/1/2003,5489
10/1/2003,5722
11/1/2003,5109
12/1/2003,5173
1/1/2004,4911
2/1/2004,5022
3/1/2004,5845
4/1/2004,5678
5/1/2004,5569
6/1/2004,5870
7/1/2004,5901
8/1/2004,5863
9/1/2004,5542
10/1/2004,5616
11/1/2004,5418
12/1/2004,5548
1/1/2005,5181
2/1/2005,5247
3/1/2005,6032
4/1/2005,5941
5/1/2005,5863
6/1/2005,6253
7/1/2005,5975
8/1/2005,6335
9/1/2005,5786
10/1/2005,5822
11/1/2005,5853
12/1/2005,5777
1/1/2006,5490
2/1/2006,5434
3/1/2006,6338
4/1/2006,5893
5/1/2006,6178
6/1/2006,6403
7/1/2006,6182
8/1/2006,6579
9/1/2006,6030
10/1/2006,6195
11/1/2006,5857
12/1/2006,5696
1/1/2007,5537
2/1/2007,5442
3/1/2007,6510
4/1/2007,6070
5/1/2007,6606
6/1/2007,6559
7/1/2007,6478
8/1/2007,6824
9/1/2007,6062
10/1/2007,6744
11/1/2007,6132
12/1/2007,5771
1/1/2008,5674
2/1/2008,5825
3/1/2008,6293
4/1/2008,6400
5/1/2008,6642
6/1/2008,6685
7/1/2008,6935
8/1/2008,6588
9/1/2008,6368
10/1/2008,6733
11/1/2008,6023
12/1/2008,6152
1/1/2009,5751
2/1/2009,5723
3/1/2009,6391
4/1/2009,6390
5/1/2009,6318
6/1/2009,6645
7/1/2009,6567
8/1/2009,6371
9/1/2009,6112
10/1/2009,6409
11/1/2009,5667
12/1/2009,5882
1/1/2010,5304
2/1/2010,5609
3/1/2010,6642
4/1/2010,6601
5/1/2010,6451
6/1/2010,6923
7/1/2010,6812
8/1/2010,7047
9/1/2010,6734
10/1/2010,6797
11/1/2010,6505
12/1/2010,6514
1/1/2011,5723
2/1/2011,6044
3/1/2011,7221
4/1/2011,6764
5/1/2011,6944
6/1/2011,7535
7/1/2011,7086
8/1/2011,7739
9/1/2011,7248
10/1/2011,7144
11/1/2011,6866
12/1/2011,6650
1/1/2012,6323
2/1/2012,6707
3/1/2012,7343
4/1/2012,6899
5/1/2012,7307
6/1/2012,7296
7/1/2012,7234
8/1/2012,7554
9/1/2012,6850
10/1/2012,7446
11/1/2012,6819
12/1/2012,6357
1/1/2013,6385
2/1/2013,6500
3/1/2013,7131
4/1/2013,7116
5/1/2013,7457
6/1/2013,7185
7/1/2013,7467
8/1/2013,7706
9/1/2013,6975
10/1/2013,7741
11/1/2013,7075
12/1/2013,6791
1/1/2014,6642
2/1/2014,6704
3/1/2014,7482
4/1/2014,7433
5/1/2014,7488
6/1/2014,7307
7/1/2014,7560
8/1/2014,7477
9/1/2014,7183
10/1/2014,7637
11/1/2014,7147
12/1/2014,6748
1/1/2015,6650
2/1/2015,6754
3/1/2015,7741
4/1/2015,7718
5/1/2015,7684
6/1/2015,8085
7/1/2015,8212
8/1/2015,7863
9/1/2015,7611
10/1/2015,7962
11/1/2015,7348
12/1/2015,7269
1/1/2016,6924
2/1/2016,7306
3/1/2016,8179
4/1/2016,7675
5/1/2016,7792
6/1/2016,8166
7/1/2016,7751
8/1/2016,8219
9/1/2016,7696
10/1/2016,7797
11/1/2016,7472
12/1/2016,7676
1/1/2017,7019
2/1/2017,6933
3/1/2017,8365
4/1/2017,7681
5/1/2017,8140
6/1/2017,8153
7/1/2017,7906
8/1/2017,8275
9/1/2017,7828
10/1/2017,7955
11/1/2017,7774
12/1/2017,7414
1/1/2018,7238
2/1/2018,7025
3/1/2018,8315
4/1/2018,7767
5/1/2018,8383
6/1/2018,8200
7/1/2018,8206
8/1/2018,8519
9/1/2018,7764
10/1/2018,8440
11/1/2018,7873
12/1/2018,7217
1/1/2019,7258
2/1/2019,7155
3/1/2019,8421
4/1/2019,8276
5/1/2019,8562
6/1/2019,8142
7/1/2019,8469
8/1/2019,8689
9/1/2019,7840
10/1/2019,8614
11/1/2019,7912
12/1/2019,7450
1/1/2020,7525
2/1/2020,7229
3/1/2020,7470
4/1/2020,6966
5/1/2020,8492
6/1/2020,9263
7/1/2020,9122
8/1/2020,8940
9/1/2020,8572
10/1/2020,8688
11/1/2020,7877
12/1/2020,7839
1/1/2021,7686
2/1/2021,7489
3/1/2021,10168
4/1/2021,9838
5/1/2021,9420
6/1/2021,9673
7/1/2021,9704
8/1/2021,9829
9/1/2021,9432
10/1/2021,9844
11/1/2021,9437
12/1/2021,9565
1/1/2022,9047
2/1/2022,8879
3/1/2022,10781
4/1/2022,10426
5/1/2022,10709
6/1/2022,10788
7/1/2022,10468
