DATE,core_cpi,gas_price,wti_price
5/1/2009,2.2888288,7.72,59.25714286
6/1/2009,2.0898948,9.35,69.67227273
7/1/2009,1.9228669,8.36,64.20869565
8/1/2009,1.7701932,9.51,71.06428571
9/1/2009,1.6158958,9.67,69.39772727
10/1/2009,1.5209969,10.52,75.82363636
11/1/2009,1.3714917,11.76,77.97238095
12/1/2009,1.3248615,12.45,74.62565217
1/1/2010,1.1770019,13.46,78.41857143
2/1/2010,1.0548474,13.23,76.308
3/1/2010,0.93183853,11.89,81.24217391
4/1/2010,0.87602978,11.62,84.49772727
5/1/2010,0.7998678,11.29,73.84238095
6/1/2010,0.78483473,10.93,75.34909091
7/1/2010,0.74959322,10.18,76.17727273
8/1/2010,0.69562861,10.48,76.61818182
9/1/2010,0.6676136,11.02,75.27363636
10/1/2010,0.67526624,12.15,81.90238095
11/1/2010,0.82600201,12.71,84.14863636
12/1/2010,0.83710132,13.07,89.36695652
1/1/2011,0.96003713,13.03,89.52380952
2/1/2011,1.1238816,13.65,89.414
3/1/2011,1.1861014,14.38,102.9356522
4/1/2011,1.21555,15.45,110.147619
5/1/2011,1.2613949,15.62,101.2990909
6/1/2011,1.2990532,15.23,96.28863636
7/1/2011,1.4236275,15.8,97.07809524
8/1/2011,1.6569751,15.24,86.33434783
9/1/2011,1.7268145,15.88,85.64818182
10/1/2011,1.8413647,15.71,86.41190476
11/1/2011,1.8407168,15.7,97.10909091
12/1/2011,2.0478499,15.31,98.56681818
1/1/2012,2.1159285,13.82,100.1022727
2/1/2012,2.0181912,12.47,102.2971429
3/1/2012,2.1247577,13.13,106.1872727
4/1/2012,2.1937928,12.72,103.3257143
5/1/2012,2.1896843,10.83,94.53478261
6/1/2012,2.2407468,8.7,82.40047619
7/1/2012,2.2616531,9.66,87.91909091
8/1/2012,2.1718632,10.18,94.11826087
9/1/2012,2.2199385,10.04,94.7045
10/1/2012,2.2070705,10.35,89.59652174
11/1/2012,2.1959869,10.16,86.72090909
12/1/2012,2.1097305,9.73,88.26285714
1/1/2013,2.0682971,9.84,94.72956522
2/1/2013,2.146017,9.91,95.3095
3/1/2013,2.0999025,9.57,93.19904762
4/1/2013,1.9354319,9.64,92.06772727
5/1/2013,1.907797,9.48,94.76695652
6/1/2013,1.8766189,9.06,95.7695
7/1/2013,1.867879,9.56,104.4265217
8/1/2013,1.9142202,10.21,106.4354545
9/1/2013,1.8904211,10.26,106.3952381
10/1/2013,1.8687356,10.41,100.5569565
11/1/2013,1.8930866,10.42,93.85095238
12/1/2013,1.8711904,10.76,97.89045455
1/1/2014,1.8218145,11.61,94.96304348
2/1/2014,1.7891863,11.94,100.705
3/1/2014,1.8208567,10.03,100.5680952
4/1/2014,2.0251612,10.26,102.175
5/1/2014,2.1282345,10.02,101.9963636
6/1/2014,2.1433409,10.17,105.2347619
7/1/2014,2.1008094,9.94,102.9482609
8/1/2014,1.9625042,9.69,96.31714286
9/1/2014,1.954047,9.86,93.27181818
10/1/2014,2.0060187,8.75,84.40608696
11/1/2014,2.0043657,7.84,75.7075
12/1/2014,1.9711259,5.63,59.13956522
1/1/2015,1.985653,5.08,47.55727273
2/1/2015,1.9819969,5.7,50.857
3/1/2015,1.9991371,5.52,47.78227273
4/1/2015,2.0631236,5.58,54.37863636
5/1/2015,2.0668869,5.25,59.38857143
6/1/2015,2.1147326,4.78,59.82863636
7/1/2015,2.1414477,4.73,51.19869565
8/1/2015,2.1802398,4.42,42.91285714
9/1/2015,2.279431,4.89,45.51
10/1/2015,2.3462109,4.95,46.26863636
11/1/2015,2.4052606,4.72,42.5852381
12/1/2015,2.4436874,4.23,37.39608696
1/1/2016,2.4667222,3.69,31.78428571
2/1/2016,2.5442092,3.89,30.37761905
3/1/2016,2.531878,4.48,37.90173913
4/1/2016,2.537996,4.65,41.03190476
5/1/2016,2.5711572,5.11,46.84181818
6/1/2016,2.5689022,5.25,48.79181818
7/1/2016,2.5758512,4.92,44.89619048
8/1/2016,2.7228064,4.94,44.75173913
9/1/2016,2.6321032,5.25,45.2
10/1/2016,2.5095184,6.05,49.80952381
11/1/2016,2.5258013,5.45,45.47090909
12/1/2016,2.594944,6.66,52.05272727
1/1/2017,2.661562,6.78,52.56181818
2/1/2017,2.67446,7.24,53.45
3/1/2017,2.453344,5.91,49.36304348
4/1/2017,2.25217,6.25,51.174
5/1/2017,2.155911,6.14,48.55956522
6/1/2017,2.13853,5.73,45.18545455
7/1/2017,2.146769,6.27,46.58190476
8/1/2017,2.089832,7.01,48.04782609
9/1/2017,2.106697,7.8,49.73571429
10/1/2017,2.192819,7.84,51.57318182
11/1/2017,2.115031,8.03,56.73818182
12/1/2017,2.125472,7.82,57.92047619
1/1/2018,2.166829,7.91,63.58478261
2/1/2018,2.129934,7.43,62.227
3/1/2018,2.359611,7.17,62.83045455
4/1/2018,2.492147,7.49,66.31380952
5/1/2018,2.544964,8.4,69.89869565
6/1/2018,2.558656,8.57,67.87619048
7/1/2018,2.531541,8.99,71.07454545
8/1/2018,2.430733,9.18,67.9273913
9/1/2018,2.475069,10.46,70.1905
10/1/2018,2.419846,9.11,70.75304348
11/1/2018,2.472599,6.97,56.18818182
12/1/2018,2.448984,6.38,48.91904762
1/1/2019,2.378344,6.46,51.2273913
2/1/2019,2.373979,6.6,54.996
3/1/2019,2.393918,6.58,58.17047619
4/1/2019,2.410959,6.09,63.87045455
5/1/2019,2.39962,5.61,60.74
6/1/2019,2.431727,4.5,54.666
7/1/2019,2.467932,4.62,57.37608696
8/1/2019,2.633395,4.48,54.83045455
9/1/2019,2.616559,5.04,56.86
10/1/2019,2.7342,5.12,53.96086957
11/1/2019,2.760463,5.64,56.67761905
12/1/2019,2.724503,5.33,59.86772727
1/1/2020,2.788599,4.84,57.71695652
2/1/2020,2.812655,4.38,50.608
3/1/2020,2.641068,3.06,29.32045455
4/1/2020,2.233555,2.85,16.975
5/1/2020,2.085757,3.89,28.78142857
6/1/2020,2.064379,4.21,38.31454545
7/1/2020,2.350691,4.54,40.71521739
8/1/2020,2.297196,5.01,42.37095238
9/1/2020,2.088195,4.75,39.59818182
10/1/2020,1.848308,4.97,39.405
11/1/2020,1.786708,5.24,41.38904762
12/1/2020,1.694452,5.76,47.07043478
1/1/2021,1.504532,7.07,51.84952381
2/1/2021,1.520784,7.75,59.2345
3/1/2021,1.694673,7.61,62.18391304
4/1/2021,2.284027,7.02,61.41772727
5/1/2021,2.623896,7.38,65.16095238
6/1/2021,2.604632,8.44,71.37727273
7/1/2021,2.325734,9.36,72.59181818
8/1/2021,2.353165,9.59,67.87227273
9/1/2021,2.649506,10.93,71.535
10/1/2021,3.04294,12.15,81.36428571
11/1/2021,3.205069,10.88,79.09545455
12/1/2021,3.467011,9.26,71.80217391
1/1/2022,3.982987642,10.57,83.27761905
2/1/2022,4.297857761,11.36,91.608
3/1/2022,4.551814556,12.62,108.3991304
4/1/2022,4.723537922,12.19,101.9852381
5/1/2022,4.975575447,12.44,109.7127273
6/1/2022,5.425963402,12.48,114.6759091
7/1/2022,5.629465103,11.41,101.9180952
